Date,USD,USD_tradable,EURUSD,EURUSD_tradable,GBPUSD,GBPUSD_tradable,JPYUSD,JPYUSD_tradable,CHFUSD,CHFUSD_tradable
2008-02-20,1.0000000000,True,1.4722987413,True,1.9425019026,True,0.0092549743,True,0.9105809809,True
2008-02-21,1.0000000000,True,1.4815034866,True,1.9637877941,True,0.0093101198,True,0.9172629318,True
2008-02-22,1.0000000000,True,1.4826017618,True,1.9669165611,True,0.0093292283,True,0.9217439212,True
2008-02-23,1.0000000000,True,1.4826017618,False,1.9669165611,False,0.0093292283,False,0.9217439212,False
2008-02-24,1.0000000000,True,1.4826017618,False,1.9669165611,False,0.0093292283,False,0.9217439212,False
2008-02-25,1.0000000000,True,1.4835914373,True,1.9666068554,True,0.0092566881,True,0.9186954331,True
2008-02-26,1.0000000000,True,1.4996100664,True,1.9872814417,True,0.0093153238,True,0.9293680512,True
2008-02-27,1.0000000000,True,1.5118072033,True,1.9831826687,True,0.0094011467,True,0.9409993119,True
2008-02-28,1.0000000000,True,1.5195951462,True,1.9898914099,True,0.0095283471,True,0.9514747868,True
2008-02-29,1.0000000000,True,1.5192027092,True,1.9866102934,True,0.0096366969,True,0.9595087598,True
2008-03-01,1.0000000000,True,1.5192027092,False,1.9866102934,False,0.0096366969,False,0.9595087598,False
2008-03-02,1.0000000000,True,1.5192027092,False,1.9866102934,False,0.0096366969,False,0.9595087598,False
2008-03-03,1.0000000000,True,1.5200109482,True,1.9838908911,True,0.0096599694,True,0.9606147855,True
2008-03-04,1.0000000000,True,1.5210051537,True,1.9855847359,True,0.0096739864,True,0.9620935326,True
2008-03-05,1.0000000000,True,1.5276972055,True,1.9917938709,True,0.0096237125,True,0.9653441482,True
2008-03-06,1.0000000000,True,1.5385088921,True,2.0121128559,True,0.0097484888,True,0.9784736241,True
2008-03-07,1.0000000000,True,1.5336012840,True,2.0140175819,True,0.0097370986,True,0.9758002104,True
2008-03-08,1.0000000000,True,1.5336012840,False,2.0140175819,False,0.0097370986,False,0.9758002104,False
2008-03-09,1.0000000000,True,1.5336012840,False,2.0140175819,False,0.0097370986,False,0.9758002104,False
2008-03-10,1.0000000000,True,1.5340952873,True,2.0083951950,True,0.0098599883,True,0.9814505485,True
2008-03-11,1.0000000000,True,1.5341894627,True,2.0060181618,True,0.0096833546,True,0.9686168039,True
2008-03-12,1.0000000000,True,1.5540015697,True,2.0269997120,True,0.0098541581,True,0.9855129060,True
2008-03-13,1.0000000000,True,1.5622069836,True,2.0325202942,True,0.0099324592,True,0.9898049690,True
2008-03-14,1.0000000000,True,1.5617922544,True,2.0199978352,True,0.0100979502,True,1.0021546316,True
2008-03-15,1.0000000000,True,1.5617922544,False,2.0199978352,False,0.0100979502,False,1.0021546316,False
2008-03-16,1.0000000000,True,1.5617922544,False,2.0199978352,False,0.0100979502,False,1.0021546316,False
2008-03-17,1.0000000000,True,1.5748031139,True,1.9972835779,True,0.0102986613,True,1.0159504037,True
2008-03-18,1.0000000000,True,1.5658028126,True,2.0094847679,True,0.0100180325,True,1.0010009881,True
2008-03-19,1.0000000000,True,1.5638928413,True,1.9836940765,True,0.0101399308,True,1.0035122777,True
2008-03-20,1.0000000000,True,1.5442106724,True,1.9847964048,True,0.0100623871,True,0.9933445528,True
2008-03-21,1.0000000000,True,1.5697108507,True,1.9833006859,True,0.0100431857,True,0.9913750242,True
2008-03-22,1.0000000000,True,1.5697108507,False,1.9833006859,False,0.0100431857,False,0.9913750242,False
2008-03-23,1.0000000000,True,1.5697108507,False,1.9833006859,False,0.0100431857,False,0.9913750242,False
2008-03-24,1.0000000000,True,1.5434956551,True,1.9877949953,True,0.0099265438,True,0.9815468985,True
2008-03-25,1.0000000000,True,1.5612071753,True,2.0026032925,True,0.0099920062,True,0.9913750242,True
2008-03-26,1.0000000000,True,1.5824036598,True,2.0073871613,True,0.0100847112,True,1.0084711811,True
2008-03-27,1.0000000000,True,1.5814026594,True,2.0067830086,True,0.0100472221,True,1.0080645326,True
2008-03-28,1.0000000000,True,1.5760937929,True,1.9948930740,True,0.0100887810,True,1.0075566678,True
2008-03-29,1.0000000000,True,1.5760937929,False,1.9948930740,False,0.0100887810,False,1.0075566678,False
2008-03-30,1.0000000000,True,1.5760937929,False,1.9948930740,False,0.0100887810,False,1.0075566678,False
2008-03-31,1.0000000000,True,1.5757957697,True,1.9842058420,True,0.0100150227,True,1.0055304361,True
