model,block,Date,n_obs,parameter_count,r2,r2_ci_low,r2_ci_high,adjusted_r2,rmse,mae,bias
gaussian,24,2016-07-01,3275,96,-0.034405010309359385,-0.04671591318927566,-0.022094107429442664,-0.06565198355973667,0.018178688567616532,0.011681340548830082,0.002694507288526982
gaussian,25,2017-01-02,3250,96,-0.021992075185460758,-0.03045620901494258,-0.013527941355978934,-0.053108865295769636,0.013326863776905243,0.009220224733392244,-0.0005288242339614156
gaussian,26,2017-07-03,3250,96,-0.0009788662926759617,-0.015546656339671745,0.013588923754319821,-0.03145586317313809,0.010523871289738314,0.0073435260396959605,-0.0016574304163161453
gaussian,27,2018-01-01,3250,96,0.025363062097502165,0.011635184729057075,0.03909093946594748,-0.0043118970013369395,0.013458167532336317,0.009220003075439992,-0.0011755535557705118
gaussian,28,2018-07-02,3275,96,0.0004940803903117352,-0.010989808243816327,0.011977969024439797,-0.029698672373228208,0.014098308068539176,0.00954792439991272,-1.5364925508138728e-06
gaussian,29,2019-01-01,3225,96,-0.003643441803633296,-0.011221175877404182,0.003934292270137146,-0.03444579807382153,0.014289403817546576,0.009431568999491059,0.0004470833690436793
gaussian,30,2019-07-01,3300,96,-0.05055084186079051,-0.06514530610991923,-0.03595637761166178,-0.08203784804831349,0.014923063255041285,0.009855559836858678,-0.001250103462726024
gaussian,31,2020-01-01,3250,96,-0.004585558077605079,-0.016170256335634223,0.006999140180424067,-0.03517236859947315,0.035949692121484716,0.023129600894365818,-0.004159338296087338
gaussian,32,2020-07-01,3300,96,-0.10103656054937504,-0.13271172908451304,-0.0693613920142366,-0.134036719716637,0.020115842917401254,0.014783624105423282,-0.0014953408420691676
gaussian,33,2021-01-01,3225,96,-0.04455276821894416,-0.06121525971600319,-0.02789027672188469,-0.07661065368857933,0.016887570598033714,0.011793758170694604,0.00020084004456595876
gaussian,34,2021-07-01,3300,96,-0.08228850161153822,-0.10139517301628884,-0.06318183020678761,-0.11472674580595199,0.015385765578051817,0.010351981159541347,-0.00023741447028312513
gaussian,35,2022-01-03,3225,96,-0.023816393936258784,-0.04400618403650665,-0.003626603836010916,-0.05523786894197524,0.023392594701905176,0.016031647930744727,0.00305388076045092
gaussian,36,2022-07-01,3275,96,-0.16586356037748407,-0.19347800600842857,-0.13824911474654,-0.20108159115037227,0.019687696343707393,0.013904012774862215,0.005001645368113301
gaussian,37,2023-01-02,3250,96,-0.05221742875835966,-0.06696715013679405,-0.037467707379925275,-0.08425449604691115,0.018894712232615383,0.012621440141865326,-5.556915504738778e-05
gaussian,38,2023-07-03,3250,96,0.007665574335308123,-0.005235905029089749,0.02056705369970622,-0.0225482235916854,0.014844932033258615,0.009946110256265218,0.0007981741044694758
gaussian,39,2024-01-01,3250,96,0.017860119262798846,0.005706369318076913,0.030013869207521,-0.01204328338571714,0.01424471258162799,0.009633244452880042,0.0008227424768355629
gaussian,40,2024-07-01,3300,96,-0.014429461489705142,-0.03418862052506256,0.005329697545652275,-0.04483384122839129,0.016771603674195824,0.010610382754162033,-0.0013253154812335444
gaussian,41,2025-01-02,3200,96,-0.013717772393226468,-0.031337781203652645,0.003902236417199712,-0.04507997224812477,0.020268991016467928,0.013016280179447148,0.0020181074603933353
gaussian,42,2025-07-01,3275,96,0.00577533316226464,-0.007101347008696088,0.018652013333225366,-0.024257885219240327,0.01411592748498335,0.009771698450359582,-0.0003659020011705161
