Date,strategy,rolling_return
2006-11-13,equal_weight,0.2609085791253456
2006-11-14,equal_weight,0.2609479222505844
2006-11-15,equal_weight,0.26028278373801167
2006-11-16,equal_weight,0.2651062497649857
2006-11-17,equal_weight,0.2726251988411282
2006-11-20,equal_weight,0.26045054122979583
2006-11-21,equal_weight,0.2587244802349388
2006-11-22,equal_weight,0.2648820814063805
2006-11-23,equal_weight,0.2581022681820912
2006-11-24,equal_weight,0.26113392457407136
2006-11-27,equal_weight,0.2377086814526383
2006-11-28,equal_weight,0.2458892693364337
2006-11-29,equal_weight,0.2357253488563888
2006-11-30,equal_weight,0.2345499449196492
2006-12-01,equal_weight,0.2298692284204086
2006-12-04,equal_weight,0.24058862494258448
2006-12-05,equal_weight,0.2279299727198918
2006-12-06,equal_weight,0.2313335493890816
2006-12-07,equal_weight,0.234335251120309
2006-12-08,equal_weight,0.2415532894648773
2006-12-11,equal_weight,0.2335274717736052
2006-12-12,equal_weight,0.2371495329287807
2006-12-13,equal_weight,0.23394044684184068
2006-12-14,equal_weight,0.2453283632709099
2006-12-15,equal_weight,0.24907528827465888
2006-12-18,equal_weight,0.2510715227830145
2006-12-19,equal_weight,0.25817176456905827
2006-12-20,equal_weight,0.25968223822706693
2006-12-21,equal_weight,0.2383822827917583
2006-12-22,equal_weight,0.2215123411389588
2006-12-25,equal_weight,0.2249814830423095
2006-12-26,equal_weight,0.2118624175479219
2006-12-27,equal_weight,0.22884126352913228
2006-12-28,equal_weight,0.23899940359132169
2006-12-29,equal_weight,0.2247793471333636
2007-01-01,equal_weight,0.22931481379714988
2007-01-02,equal_weight,0.2415297344115272
2007-01-03,equal_weight,0.2419090670620404
2007-01-04,equal_weight,0.24956729352891033
2007-01-05,equal_weight,0.2473877167845723
2007-01-08,equal_weight,0.2414575161364624
2007-01-09,equal_weight,0.2524673737297449
2007-01-10,equal_weight,0.24129816478567098
2007-01-11,equal_weight,0.2531083318654538
2007-01-12,equal_weight,0.24902172293229358
2007-01-15,equal_weight,0.2375474974216547
2007-01-16,equal_weight,0.2287269730490602
2007-01-17,equal_weight,0.2265343439809777
2007-01-18,equal_weight,0.2157175675895464
2007-01-19,equal_weight,0.2175948700155187
2007-01-22,equal_weight,0.2272428035735865
2007-01-23,equal_weight,0.2384979738684982
2007-01-24,equal_weight,0.2484101469903797
2007-01-25,equal_weight,0.2407598825527351
2007-01-26,equal_weight,0.2357850026631157
2007-01-29,equal_weight,0.22216789007609689
2007-01-30,equal_weight,0.2327432784856788
2007-01-31,equal_weight,0.2327280086594769
2007-02-01,equal_weight,0.232809134027607
2007-02-02,equal_weight,0.23458749344074298
2007-02-05,equal_weight,0.22060515971356578
2007-02-06,equal_weight,0.2266924267014982
2007-02-07,equal_weight,0.2312171938250218
2007-02-08,equal_weight,0.2198494322425431
2007-02-09,equal_weight,0.2125774599603045
2007-02-12,equal_weight,0.19800289328505538
2007-02-13,equal_weight,0.2003733844723242
2007-02-14,equal_weight,0.20940454255528226
2007-02-15,equal_weight,0.21293070397633937
2007-02-16,equal_weight,0.20821278394940515
2007-02-19,equal_weight,0.21268139583588946
2007-02-20,equal_weight,0.22217808453561044
2007-02-21,equal_weight,0.21979679809840286
2007-02-22,equal_weight,0.23011299414771874
2007-02-23,equal_weight,0.23498416648662154
2007-02-26,equal_weight,0.22952012515686662
2007-02-27,equal_weight,0.19227174058144464
2007-02-28,equal_weight,0.17429945067156272
2007-03-01,equal_weight,0.15593552427628565
2007-03-02,equal_weight,0.14525185043499475
2007-03-05,equal_weight,0.12736759062219094
2007-03-06,equal_weight,0.13690454144660175
2007-03-07,equal_weight,0.12906510431734525
2007-03-08,equal_weight,0.14449354004972484
2007-03-09,equal_weight,0.14374862026223573
2007-03-12,equal_weight,0.14949039483307225
2007-03-13,equal_weight,0.12392456840190284
2007-03-14,equal_weight,0.11072714916126974
2007-03-15,equal_weight,0.13169664008851323
2007-03-16,equal_weight,0.12488351180739814
2007-03-19,equal_weight,0.12427284508293734
2007-03-20,equal_weight,0.14169926033150873
2007-03-21,equal_weight,0.14750314494729794
2007-03-22,equal_weight,0.15163129922204013
2007-03-23,equal_weight,0.14764364626308424
2007-03-26,equal_weight,0.14050352260954455
2007-03-27,equal_weight,0.15260314038926834
2007-03-28,equal_weight,0.13965346469969864
2007-03-29,equal_weight,0.16125343777672516
2007-03-30,equal_weight,0.16360879773652515
2007-04-02,equal_weight,0.16085044742334834
2007-04-03,equal_weight,0.17206496601495314
2007-04-04,equal_weight,0.16886489232513024
2007-04-05,equal_weight,0.16446745577288305
2007-04-06,equal_weight,0.15752326662662033
2007-04-09,equal_weight,0.15512317445605764
2007-04-10,equal_weight,0.16181657140028352
2007-04-11,equal_weight,0.16420995852421025
2007-04-12,equal_weight,0.15534657391953705
2007-04-13,equal_weight,0.15875261717026853
2007-04-16,equal_weight,0.16680962429942692
2007-04-17,equal_weight,0.15613051190058322
2007-04-18,equal_weight,0.16881811316569262
2007-04-19,equal_weight,0.15559789290755924
2007-04-20,equal_weight,0.18067394667660713
2007-04-23,equal_weight,0.16884469786793935
2007-04-24,equal_weight,0.14619980240413885
2007-04-25,equal_weight,0.15999648471809855
