"strategy","min_weight","max_weight","mean_daily","vol_daily","sharpe_annualized","cumulative_return","max_drawdown","n_days","mean_top_weight","max_single_asset_weight","mean_effective_assets","mean_zero_weight_share"
"linear","0.01","0.112","0.00096923332615210392","0.016069404023659417","0.95747807682930652","200.84936350941118","-0.58229886905287143","5476","0.10618244865917092","0.112","13.500833843861129","0"
"linear","0.01","0.113","0.00097104700111568247","0.016079536541307584","0.95866527111915134","202.86405570645005","-0.58145769482014686","5476","0.10699536404687197","0.113","13.430157342408904","0"
"linear","0.01","0.114","0.00097320726970675012","0.016089345695647066","0.96021222682567442","205.290013018807","-0.58034029516054852","5476","0.10780559490713339","0.114","13.357853429536288","0"
"linear","0.01","0.115","0.00097535968374863288","0.01609912454019025","0.96175136316089194","207.73586068835181","-0.57934498324339856","5476","0.10861361286006298","0.115","13.283999695176378","0"
"linear","0.01","0.11600000000000001","0.00097748598709632996","0.016109180935595852","0.96324630367498776","210.1805099921082","-0.5784217718527811","5476","0.10941952612360765","0.11600000000000001","13.208558712443537","0"
"linear","0.01","0.11700000000000001","0.00097948554116317177","0.016120074146962211","0.96456447944675083","212.50554909528358","-0.57760117780342168","5476","0.11022264595116024","0.11700000000000001","13.132322304212046","0"
"linear","0.01","0.11799999999999999","0.00098040186164659944","0.016127144400348594","0.96504357365297277","213.57956336623192","-0.57825537920880121","5476","0.1110238300229803","0.11799999999999999","13.088811254545323","0"
"linear","0.01","0.11899999999999999","0.00098112837294329902","0.016133754313920202","0.96536303771443721","214.43494190178586","-0.5791634217694156","5476","0.11182290465159062","0.11899999999999999","13.04913659390167","0"
"linear","0.01","0.12","0.00098176570526727481","0.016140442941534085","0.96558982102715285","215.18813026232741","-0.58000474339321739","5476","0.11261982462682552","0.12","13.007660684644549","0"
"linear","0.01","0.121","0.00098231725116931833","0.016146885652836684","0.96574678648548029","215.8420628111277","-0.58087623543975508","5476","0.11341328972825036","0.121","12.9646115334663","0"
"linear","0.01","0.122","0.00098294286975366806","0.016154008492065611","0.96593575060817016","216.58621325492169","-0.58195343420559142","5476","0.11420470881633239","0.122","12.920071947978013","0"
"linear","0.01","0.123","0.00098353304468311374","0.016161910933412887","0.9660431318425281","217.29054544156824","-0.58286730903959438","5476","0.114994932990064","0.123","12.874026152705831","0"
"linear","0.01","0.124","0.00098420901799547295","0.016169778698443948","0.96623671168995096","218.10007360485827","-0.58354905323414463","5476","0.1157837186063812","0.124","12.826487923742681","0"
"linear","0.01","0.125","0.00098482089981286416","0.016177238007467704","0.96639161232872051","218.83543580432288","-0.58403901148444315","5476","0.11656986184431672","0.125","12.777532150744449","0"
"linear","0.01","0.126","0.00098557062565122859","0.01618447121948214","0.96669507688009193","219.73982511248886","-0.58433651726489766","5476","0.11735407175181781","0.126","12.727173622585344","0"
"linear","0.01","0.127","0.00098630317263874619","0.016191743586585386","0.96697908961876222","220.62708527398357","-0.58460483439884148","5476","0.11813533702934306","0.127","12.675773871684884","0"
"linear","0.01","0.128","0.00098687654087053892","0.016199057095511268","0.96710440112861695","221.32403567215439","-0.58502679390125278","5476","0.11891431917158103","0.128","12.623348504926403","0"
"linear","0.01","0.129","0.00098721676829377795","0.016206285650112649","0.96700630190362802","221.73863042312107","-0.58543862521901402","5476","0.11969134291219111","0.129","12.569821794674544","0"
"linear","0.01","0.13","0.00098731227858052796","0.016212725215758853","0.96671573250826892","221.85515638844967","-0.58591288712104772","5476","0.12046664241181405","0.13","12.515315870608056","0"
"linear","0.01","0.13100000000000001","0.00098718216531733477","0.016219295629365103","0.96619677000738879","221.69642859194497","-0.58643144099530642","5476","0.12123955543555182","0.13100000000000001","12.459957730182618","0"
"linear","0.01","0.13200000000000001","0.00098702190177328846","0.016226502219473905","0.96561087115821231","221.50107523478971","-0.58704664486431157","5476","0.12201091757655355","0.13200000000000001","12.404036405830908","0"
